sequence_id,n_frames,n_frames2
1032786023,125,125
103287993,10,10
1032960004,6,6
1032986060,34,34
1032989664,9,9
1033007049,13,13
1033017715,93,93
1033041369,16,16
103306512,9,9
1033074883,23,23
1033117343,32,32
1033147866,15,15
1033157961,15,15
1033181756,8,8
1033189503,46,46
1033205678,45,45
1033234136,6,6
1033356370,45,45
1033363053,183,183
1033366533,25,25
1033479208,14,14
1033488753,49,49
1033534525,6,6
1033624602,6,6
1033652090,109,109
1033678481,6,6
1033683305,9,9
1033713533,12,12
103376986,38,38
1033802210,7,7
1033803947,11,11
1033908380,21,21
1033988482,77,77
10339979,19,19
1034032131,45,45
1034040233,68,68
1034040827,6,6
1034102348,30,30
1034107946,49,49
1034110468,14,14
1034207567,97,97
1034274193,15,15
1034278983,23,23
1034334073,120,120
1034356838,12,12
1034411879,64,64
103441466,21,21
1034423299,24,24
103445643,15,15
1034459795,53,53
1034476603,93,93
103448591,8,8
1034534475,14,14
1034631660,17,17
1034670586,9,9
1034699789,20,20
1034701769,32,32
1034721067,21,21
1034826619,59,59
1034854052,17,17
1034885086,16,16
1034890958,31,31
1034891803,13,13
1034951137,6,6
1034965249,64,64
1034966380,50,50
1035013846,12,12
1035084295,8,8
103511393,29,29
1035224046,10,10
103525223,80,80
1035280010,6,6
1035285322,14,14
1035296890,154,154
1035321681,6,6
1035403110,38,38
1035456503,24,24
1035512598,29,29
1035558000,18,18
1035565428,23,23
1035578639,8,8
103559943,6,6
1035600457,6,6
1035642852,34,34
1035730875,14,14
1035840159,23,23
1035864763,51,51
1035872222,82,82
1035984006,237,237
103602887,19,19
1036196695,15,15
1036252951,24,24
1036285042,12,12
1036359686,6,6
1036379240,88,88
1036421289,43,43
1036450361,6,6
1036533768,15,15
1036539894,6,6
1036548519,16,16
1036570100,15,15
1036612603,6,6
1036645201,20,20
1036840165,6,6
1036918932,155,155
1036933165,13,13
1036963710,46,46
103696964,33,33
1036976480,61,61
1037054760,31,31
1037101906,31,31
1037194971,28,28
1037251077,51,51
1037272350,15,15
1037367912,4,4
1037409046,6,6
1037419312,30,30
1037505477,7,7
1037544520,16,16
1037679953,46,46
1037905016,20,20
1037906172,80,80
1037908412,15,15
1037947715,16,16
1037988102,56,56
1037994241,6,6
1038000543,8,8
1038041627,18,18
1038078616,15,15
1038127473,51,51
1038143759,6,6
1038164030,6,6
103822726,60,60
1038249738,31,31
1038257535,59,59
1038270357,11,11
1038283720,123,123
1038299447,20,20
1038300531,15,15
10384674,20,20
1038478644,38,38
1038497922,158,158
1038571512,6,6
1038582543,75,75
1038643940,6,6
103874012,21,21
1038749660,24,24
1038766651,7,7
1038775117,16,16
1038816212,12,12
1038833989,16,16
1038859387,30,30
1038912136,47,47
1038934108,7,7
1039062493,23,23
103910369,14,14
1039127136,29,29
1039139776,91,91
1039263697,14,14
1039289937,6,6
1039386922,148,148
1039398151,67,67
1039405470,13,13
1039422261,18,18
1039427744,117,117
103948068,44,44
1039567830,11,11
1039663107,9,9
1039674858,25,25
1039700265,60,60
1039813255,27,27
1039823361,13,13
1039826813,11,11
1039853759,23,23
1039857466,6,6
10398646,11,11
1039908176,58,58
1039933323,50,50
1039995284,16,16
10400019,48,48
1040007027,43,43
1040012767,24,24
1040013639,56,56
1040070657,6,6
1040080251,8,8
1040091276,19,19
1040187339,33,33
1040195717,17,17
1040227886,25,25
1040259915,55,55
1040304860,10,10
1040327703,11,11
1040331541,16,16
1040364449,32,32
1040367401,128,128
1040555625,15,15
1040600536,192,192
104061906,48,48
1040682636,14,14
1040768841,31,31
1040779523,38,38
1040862463,35,35
1040875819,41,41
1040944803,22,22
1041014537,6,6
1041048209,12,12
10410955,10,10
1041199032,32,32
1041242608,14,14
1041279850,120,120
10412885,13,13
1041298333,21,21
1041303217,8,8
1041304780,18,18
1041325899,25,25
1041368107,42,42
1041371908,79,79
1041375747,11,11
1041421776,13,13
1041464458,17,17
104148194,29,29
1041494152,32,32
104149588,68,68
1041640986,18,18
1041695109,15,15
1041729682,8,8
1041739351,48,48
1041787565,55,55
1041793625,23,23
1041802107,19,19
1041824547,33,33
1041845026,85,85
1041859085,11,11
1041866445,6,6
1041888943,44,44
1041928684,18,18
1042104767,30,30
1042175264,26,26
1042235492,15,15
1042256889,35,35
1042272721,6,6
1042278290,54,54
1042295381,18,18
1042331405,11,11
1042366453,22,22
1042379551,24,24
104238255,24,24
1042395427,60,60
1042452388,63,63
1042544446,39,39
1042569027,71,71
1042662858,22,22
1042697982,56,56
1042730912,8,8
1042766949,24,24
1042775189,42,42
1042805901,18,18
1042842785,44,44
1042874485,17,17
1042877364,61,61
1042895453,140,140
1042920123,29,29
104292849,46,46
1042995708,45,45
1043017304,16,16
1043061666,19,19
1043066340,23,23
1043117617,16,16
104312539,34,34
1043224799,133,133
1043321984,48,48
1043568687,41,41
1043726371,36,36
1043734092,23,23
1043752485,17,17
1043768685,6,6
1043774222,41,41
1043840094,6,6
1043846192,94,94
1043911310,105,105
1043917700,17,17
1043964363,13,13
1043973118,11,11
1043975924,6,6
104399167,6,6
1044050777,42,42
1044100553,124,124
1044118052,60,60
1044122718,25,25
1044130439,44,44
1044159223,30,30
1044159483,179,179
1044166375,31,31
1044177843,22,22
1044179662,8,8
1044268814,23,23
1044276250,50,50
1044296804,6,6
1044409053,26,26
1044425550,21,21
1044479555,17,17
1044500684,30,30
104454935,13,13
1044589393,12,12
1044598974,10,10
1044662280,27,27
1044668832,21,21
1044708688,20,20
1044728730,6,6
1044729798,6,6
1044825469,8,8
1044827182,15,15
1044968368,10,10
1045056381,49,49
1045086453,15,15
1045086950,43,43
1045114673,169,169
1045215454,64,64
1045255796,8,8
1045258570,36,36
1045269533,36,36
1045319821,6,6
1045321300,38,38
1045448341,7,7
1045463707,180,180
1045478644,19,19
104550800,42,42
1045510771,7,7
1045515676,12,12
1045550713,30,30
1045566902,11,11
1045643325,109,109
1045664268,31,31
1045704130,21,21
1045787067,13,13
1045793732,14,14
104583781,10,10
1045855826,43,43
1045887242,18,18
1045949632,191,191
1046137044,6,6
1046162244,65,65
1046179649,27,27
1046246037,19,19
104633332,15,15
1046442307,27,27
1046463258,25,25
1046474374,15,15
104649498,15,15
1046513185,24,24
104652110,26,26
1046628782,6,6
104663714,22,22
1046725989,33,33
1046796659,83,83
1046805519,31,31
1046816180,80,80
1046889917,29,29
1046960010,15,15
104698648,63,63
1047009010,6,6
1047046743,39,39
1047094149,33,33
1047094338,18,18
1047094994,19,19
1047126044,55,55
1047151249,52,52
1047203339,6,6
104723878,6,6
1047322897,7,7
1047364446,6,6
1047407518,116,116
1047492664,6,6
104756389,39,39
1047588917,152,152
104761710,214,214
1047646329,23,23
1047704230,6,6
1047706700,19,19
1047781271,42,42
1047783917,17,17
1047831359,31,31
1047842946,29,29
1047855691,26,26
1047880719,40,40
1047894514,6,6
1047928737,13,13
1047946626,34,34
104795088,30,30
1047968766,9,9
1048033497,17,17
104804968,36,36
1048119697,25,25
1048128361,30,30
1048164520,18,18
1048182726,209,209
1048201656,9,9
1048231757,112,112
1048270730,14,14
1048321924,6,6
1048337666,6,6
104843486,24,24
1048478176,38,38
1048480380,44,44
1048490799,29,29
1048506095,55,55
1048599802,22,22
1048601140,18,18
1048634291,29,29
1048661021,35,35
1048663259,100,100
1048720861,7,7
1048722379,225,225
1048727150,9,9
1048751747,6,6
104882422,31,31
1048909726,6,6
1049102978,7,7
1049139592,44,44
1049166340,27,27
1049170200,42,42
104919997,9,9
1049246757,43,43
1049333044,6,6
1049357729,25,25
1049406547,10,10
1049435447,26,26
1049441464,10,10
1049446909,87,87
104949768,19,19
1049501001,17,17
1049503265,31,31
1049521508,18,18
1049534022,6,6
1049583351,6,6
1049587865,17,17
1049674516,61,61
1049674720,19,19
1049699520,6,6
1049849883,6,6
1049896113,29,29
1049921277,6,6
1049999808,9,9
1050027994,50,50
1050083074,14,14
1050111178,70,70
1050178503,23,23
1050223528,14,14
1050254159,31,31
1050287724,6,6
1050328104,21,21
1050340236,11,11
1050467395,14,14
105049882,67,67
1050515756,160,160
1050526943,23,23
1050553083,112,112
1050554554,12,12
1050619784,209,209
1050640176,10,10
1050684799,6,6
1050720689,111,111
1050735060,14,14
105089559,15,15
1050905155,14,14
1050917557,13,13
1050988735,10,10
1050993014,52,52
105103490,38,38
1051089496,43,43
1051152315,60,60
1051197128,14,14
1051280106,6,6
1051292249,12,12
1051312494,9,9
1051314444,68,68
1051321002,12,12
1051385149,152,152
1051481827,13,13
1051611208,17,17
1051761094,100,100
105176252,18,18
1051788823,6,6
1051872288,48,48
1051922958,165,165
105198856,22,22
1052027138,21,21
1052027367,63,63
1052028157,115,115
1052055975,92,92
1052088640,24,24
1052165221,6,6
1052250735,15,15
1052304950,15,15
105239699,31,31
1052465672,53,53
1052573007,15,15
1052630803,199,199
1052630954,6,6
1052787325,22,22
1052839828,111,111
1052878223,6,6
1052889822,6,6
1052907694,15,15
1052998573,13,13
1053045836,203,203
1053115786,28,28
105312628,9,9
1053195905,21,21
1053352452,9,9
1053354029,18,18
1053430004,8,8
1053467149,16,16
105348910,15,15
1053494625,19,19
1053537829,89,89
1053570209,6,6
1053573508,6,6
1053585681,6,6
1053608274,23,23
1053641484,87,87
1053698730,23,23
1053761982,21,21
1053804183,6,6
1053886416,17,17
1053909655,28,28
1053911557,47,47
1053918309,60,60
1053957562,110,110
1054045464,71,71
1054086064,48,48
1054092160,146,146
1054101510,17,17
1054103924,30,30
1054127925,14,14
1054134886,12,12
105413914,6,6
1054282386,171,171
1054298247,17,17
1054406983,16,16
1054418038,119,119
1054428699,14,14
1054525789,12,12
1054639191,35,35
1054641459,24,24
1054709364,14,14
1054726319,22,22
1054749735,6,6
1054778499,156,156
1054794425,6,6
1054875916,235,235
1054923309,6,6
105496740,24,24
1054971688,29,29
1055057393,25,25
1055095592,65,65
1055301759,8,8
1055324172,8,8
105533801,9,9
1055363558,17,17
1055396085,16,16
1055419438,75,75
1055426700,22,22
105544881,6,6
1055514052,84,84
1055517962,11,11
1055652231,30,30
1055715802,16,16
1055777257,11,11
1055824014,18,18
1055856851,23,23
1055908167,17,17
1055994060,6,6
1056048122,52,52
1056131570,43,43
1056164815,88,88
1056311219,20,20
1056323405,13,13
1056438401,34,34
1056446974,14,14
1056524239,22,22
1056554709,16,16
1056679118,89,89
1056719555,6,6
1056759245,28,28
105677162,9,9
105678611,32,32
105680464,29,29
1056853077,31,31
1056868215,8,8
1056922911,6,6
1057022232,29,29
1057109673,6,6
1057134330,27,27
1057152054,32,32
1057166317,32,32
1057266470,8,8
1057346144,32,32
1057383307,64,64
1057404158,38,38
1057449084,9,9
1057499374,46,46
1057505190,24,24
105769977,17,17
1057708806,33,33
1057719699,42,42
1057732888,16,16
1057790660,85,85
1057811877,20,20
1057819205,26,26
1057829703,6,6
1057839157,17,17
1057853692,91,91
1057913373,49,49
1057947595,174,174
1057951924,8,8
1057980872,51,51
1058058634,23,23
1058066600,9,9
1058130659,209,209
1058180428,6,6
1058373924,13,13
1058448476,29,29
1058477924,31,31
1058486708,36,36
1058559253,17,17
1058733076,268,268
1058743977,186,186
10587460,22,22
1058811113,6,6
105897288,33,33
10590618,26,26
105910120,6,6
105913181,22,22
1059195808,15,15
1059220152,15,15
105929162,142,142
1059291712,30,30
1059356885,67,67
1059376371,50,50
1059403021,13,13
1059459368,15,15
1059475134,13,13
1059531340,120,120
1059601636,36,36
1059724054,12,12
1059757102,10,10
1059760803,25,25
1059820518,6,6
1059980806,10,10
1060007792,126,126
1060012042,38,38
106003005,208,208
1060111387,10,10
1060209681,4,4
1060249469,25,25
1060260235,12,12
1060399607,18,18
1060572565,22,22
1060634070,33,33
1060638803,18,18
106065033,29,29
1060657831,24,24
1060672186,23,23
1060697011,81,81
1060711136,60,60
1060742335,27,27
1060795224,20,20
1060838200,40,40
1060843584,31,31
1060847722,81,81
1060850217,30,30
1060954663,219,219
1061007072,6,6
1061046578,21,21
1061075895,41,41
1061076823,22,22
1061127976,167,167
1061162322,23,23
1061183354,17,17
1061196554,25,25
1061217154,13,13
1061220400,32,32
1061230755,7,7
1061264846,31,31
1061336673,6,6
1061458772,7,7
1061460539,42,42
1061603121,17,17
1061603457,14,14
1061634118,14,14
1061668019,35,35
1061678023,42,42
1061685601,13,13
1061688354,99,99
1061776808,7,7
1061783975,85,85
1061791204,33,33
1061847518,79,79
1061949915,6,6
1061974342,20,20
1061981154,11,11
106206630,24,24
1062075977,6,6
1062081958,64,64
1062097831,8,8
106210257,39,39
1062126567,6,6
1062191861,6,6
1062196890,35,35
1062305392,21,21
1062340169,51,51
1062362114,22,22
1062369559,147,147
1062383841,51,51
1062387410,41,41
1062406946,59,59
1062434955,14,14
1062501961,29,29
1062595539,68,68
1062602932,16,16
1062663574,6,6
1062701033,14,14
1062762111,126,126
106279834,7,7
1062827372,7,7
1062845222,24,24
1062901148,122,122
1062911847,20,20
1062935524,145,145
1062954264,64,64
1062990532,20,20
1063003514,20,20
106311451,6,6
1063178082,7,7
1063194632,19,19
1063195815,20,20
106323971,39,39
1063250491,11,11
1063263997,23,23
106328873,28,28
1063357998,26,26
1063385623,116,116
1063444640,50,50
106350080,25,25
1063508354,30,30
1063513151,25,25
1063637181,83,83
1063656582,121,121
1063703814,52,52
1063712195,6,6
1063757289,20,20
1063767154,48,48
1063769185,28,28
1063769794,31,31
1063777417,9,9
1063877313,184,184
1063923582,16,16
1063978521,11,11
1063987739,6,6
1064065358,24,24
1064115100,12,12
1064155846,52,52
1064160422,25,25
1064257745,20,20
1064280825,48,48
1064345950,178,178
1064376292,48,48
1064379807,6,6
1064407085,34,34
1064422373,20,20
1064447819,30,30
1064506936,9,9
1064538874,84,84
1064544585,12,12
1064545246,78,78
1064571512,69,69
106461001,14,14
1064647650,13,13
1064898047,16,16
1064907243,29,29
106490870,16,16
1065035939,73,73
1065046773,11,11
1065051176,6,6
1065081377,40,40
1065109650,23,23
1065140687,6,6
1065169030,31,31
1065257475,14,14
1065271571,160,160
1065281915,92,92
1065388069,173,173
106539499,54,54
106540228,18,18
1065456401,20,20
1065458724,6,6
1065563481,112,112
